name,snid_z,snid_z_std
1997dt,0.0042,0.0036
2023gfx,0.0422,0.0039
PTF11kjl,0.1257,0.007
iPTF13ayw,0.0523,0.0033
2022adwc,0.1214,0.0024
LSQ12gxj,0.0359,0.0049
2021uiq,0.1252,0.0
PTF09gon,0.063,0.0056
PS1-14oo,0.0509,0.0059
LSQ14nr,0.0903,0.0044
PTF11ghq,0.1713,0.0059
OGLE-2014-SN-204,0.1094,0.0055
OGLE-2013-SN-080,0.1023,0.0012
1999ek,0.0235,0.0055
MLS140220-101406+064031,0.0707,0.0063
2006np,0.1102,0.0061
2000dm,0.0181,0.0037
PTF09csj,0.0877,0.0032
iPTF14bcu,0.1787,0.0045
iPTF15dql,0.1361,0.0047
PTF10qsc,0.0883,0.0051
2005bm,0.1062,0.0046
2006le,0.0177,0.0044
PTF10qhp,0.0302,0.0018
2003lc,0.0416,0.0064
iPTF13arm,0.25,0.0056
iPTF13akc,0.0231,0.0043
2003lj,0.4192,0.0009
1995D,0.0083,0.0023
PTF10jur,0.1985,0.0042
PTF10guz,0.1884,0.0049
ASASSN-14lp,-0.0028,0.0069
PTF10goq,0.0933,0.0056
PTF12fut,0.0891,0.0052
PTF10zcd,0.1307,0.0064
PTF10trs,0.0692,0.0023
2006kc,0.2121,0.0056
iPTF14hup,0.0807,0.0053
2006ax,0.0102,0.0082
PTF10trr,0.1204,0.0051
PTF09gnm,0.0967,0.0074
PTF10qyn,0.0186,0.0027
PTF10urn,0.1113,0.0044
2004fu,0.0098,0.0045
LSQ12eve,0.1053,0.0052
2007nk,0.2134,0.0039
2001ib,0.0238,0.0034
iPTF14gxf,0.143,0.005
2017X,0.0661,0.0031
LSQ12gdj,0.0278,0.0017
2007fs,0.0183,0.0036
2005de,0.0169,0.0039
LSQ13dkp,0.0739,0.0046
2003fh,0.2447,0.0037
2009ab,0.0011,0.0038
PTF09uv,0.1544,0.0025
OGLE15qk,0.0625,0.0014
2019ur,0.0479,0.0046
PTF12mbp,0.1382,0.0049
SNLS-06D1ix,0.6518,0.0012
PTF12asw,0.1284,0.0053
LSQ12hxt,0.1232,0.003
iPTF15vw,0.0611,0.0062
CSS131210-043252+304855,0.0514,0.0014
SMTJ13545988-2820020,0.042,0.0046
PTF11glq,0.1596,0.0075
PTF12gui,0.0942,0.0038
2019vrq,0.0005,0.0017
PTF11mfy,0.0646,0.001
ASASSN-14dz,0.0194,0.0027
2006me,0.3034,0.0044
2023gps,0.0274,0.0093
OGLE-2014-SN-186,0.0743,0.0034
2006mf,0.186,0.0071
1999cl,0.002,0.0055
iPTF13adw,0.0979,0.0068
2002dp,0.0143,0.0031
2003fg,0.2599,0.0063
PTF12abl,0.1328,0.0055
2007rn,0.2646,0.0053
SNLS-05D2nt,0.7534,0.0096
PTF10tum,0.0643,0.0044
PTF11czz,0.0979,0.0075
PS15aw,0.0884,0.0046
2020zjf,0.0815,0.0025
2006cs,0.0275,0.0043
PTF11qvh,0.1396,0.0063
2003kk,0.1623,0.0064
SNLS-07D2ae,0.4986,0.0077
2007cp,0.0387,0.0056
PTF12elj,0.143,0.0041
OGLE-2013-SN-118,0.0741,0.0037
PTF09dqt,0.1123,0.0042
CSS133640m215116,0.116,0.0062
PTF10xfn,0.0859,0.0071
OGLE-2013-SN-096,0.1059,0.0068
SNLS-07D4ed,0.5199,0.0079
PTF10lif,0.0445,0.0045
2008ia,0.0274,0.0054
2006kq,0.7134,0.0047
2008ei,0.0315,0.0037
SNLS-06D3gh,0.7005,0.0054
SNLS-06D2bo,0.8256,0.0017
LSQ14foj,0.0302,0.0019
SMT-DWF16bc,0.0558,0.003
SNLS-04D3fk,0.3517,0.006
PTF10fxu,0.1149,0.001
2008hv,0.0023,0.0042
2021abbl,0.1129,0.0
2002dl,0.0139,0.003
iPTF15awr,0.0492,0.0026
2002ha,0.015,0.0027
PTF12klx,0.1079,0.0029
iPTF15doo,0.0976,0.0039
SNLS-06D1gl,0.5513,0.0078
2005cg,0.0309,0.0034
OGLE-2013-SN-098,0.0625,0.004
PTF10hrw,0.0461,0.0019
PTF10hoz,0.0635,0.0037
iPTF15cma,0.0872,0.0052
iPTF15th,0.1016,0.0039
PTF11lmz,0.0611,0.0071
PTF12gdq,0.0387,0.0058
2008Q,0.0073,0.0037
PTF10qok,0.0775,0.0032
